cislo,název,voliči,obálky,platné hlasy celkem,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,-
512231,Bělotín,1 453,790,784,59,3,0,45,3,18,79,15,7,8,1,1,42,2,12,247,0,0,108,0,2,1,1,126,4,-
512281,Beňov,548,382,371,32,0,0,25,0,29,32,3,1,10,0,0,16,0,1,127,0,1,39,0,3,0,2,49,1,-
512401,Bezuchov,153,109,108,9,0,0,12,0,3,12,0,1,3,0,0,6,0,6,20,0,0,28,0,0,0,0,8,0,-
569178,Bohuslávky,262,163,162,18,0,0,6,0,3,24,2,0,1,0,0,8,0,1,63,0,1,19,0,1,0,0,15,0,-
512532,Bochoř,786,496,492,41,0,1,42,0,12,45,2,6,14,0,0,26,0,6,170,0,0,49,1,3,1,1,71,1,-
512800,Brodek u Přerova,1 620,965,958,58,0,0,59,1,22,96,9,4,13,2,2,103,0,20,315,0,1,135,0,5,2,2,109,0,-
512826,Buk,310,213,211,14,0,0,14,0,8,20,2,2,1,0,0,12,0,5,92,0,0,13,0,0,0,0,26,2,-
512877,Býškovice,318,220,219,7,1,0,23,0,8,18,1,1,0,0,0,13,0,0,78,1,1,32,0,0,2,0,32,1,-
569135,Císařov,252,162,161,7,0,0,7,0,2,9,2,3,2,0,0,7,0,2,65,0,0,31,0,0,1,0,23,0,-
512982,Citov,457,314,313,14,0,0,12,1,10,26,2,5,10,1,0,34,0,9,93,0,2,48,0,0,4,0,42,0,-
552771,Čechy,287,163,161,15,1,0,10,1,4,15,1,0,1,0,1,11,0,6,56,0,0,19,0,1,1,0,18,0,-
513059,Čelechovice,94,67,67,5,0,0,0,0,5,2,0,0,1,1,0,6,0,2,30,0,1,5,0,1,0,0,8,0,-
513067,Černotín,654,439,439,34,1,0,25,1,15,41,9,4,4,0,0,31,0,8,145,0,3,83,0,0,0,1,32,2,-
513105,Dobrčice,184,119,118,10,0,0,5,2,8,5,2,1,2,0,0,19,0,7,28,0,1,9,0,1,1,0,17,0,-
569259,Dolní Nětčice,206,121,119,3,0,0,8,0,3,19,0,0,2,0,0,8,0,3,37,0,0,21,0,0,2,0,12,1,-
552984,Dolní Těšice,49,41,41,1,0,0,2,0,1,4,0,0,0,0,1,5,0,1,10,0,1,9,0,0,1,1,4,0,-
513199,Dolní Újezd,984,614,611,40,2,0,24,1,32,60,2,6,6,1,1,28,0,23,224,0,0,68,0,8,3,3,77,2,-
513211,Domaželice,443,279,275,18,2,0,23,0,13,25,4,0,5,1,0,13,0,2,88,0,1,25,0,1,2,0,52,0,-
513229,Dřevohostice,1 171,678,669,47,0,1,26,1,27,60,2,4,6,1,0,51,0,9,258,0,0,65,0,3,3,1,103,1,-
569194,Grymov,134,87,87,7,0,0,7,0,4,4,2,0,2,0,0,6,0,1,41,0,0,6,0,2,0,0,5,0,-
569267,Hlinsko,181,119,119,7,0,0,3,0,7,18,0,1,1,0,0,4,0,1,38,0,0,21,0,1,1,0,16,0,-
513491,Horní Moštěnice,1 349,859,856,85,4,0,63,0,32,62,7,7,20,0,1,75,0,22,276,2,3,64,1,2,0,0,128,2,-
569275,Horní Nětčice,180,111,110,5,0,0,10,0,3,15,0,1,0,0,0,8,0,0,37,0,0,16,0,0,0,0,15,0,-
552968,Horní Těšice,131,97,97,7,1,0,9,0,1,7,1,2,0,0,0,4,0,0,34,0,0,18,0,1,0,0,10,2,-
569542,Horní Újezd,351,251,250,15,1,0,28,0,13,9,0,2,2,0,0,15,0,0,88,0,0,36,0,2,3,0,36,0,-
513636,Hrabůvka,245,168,166,7,0,0,17,1,14,18,3,2,0,1,0,9,0,4,60,0,1,15,0,0,1,0,12,1,-
513733,Hradčany,233,151,150,4,0,0,9,0,6,17,2,3,1,0,0,16,0,2,38,0,1,29,0,0,0,1,20,1,-
513750,Hranice,14 851,8 583,8 529,786,11,5,570,9,246,826,79,52,144,8,47,752,10,281,2 675,12,8,703,5,31,17,14,1 200,38,-
513768,Hustopeče nad Bečvou,1 400,945,939,54,1,6,54,1,25,61,3,8,9,1,0,62,1,19,317,1,1,238,0,2,2,2,70,1,-
556998,Jezernice,553,327,325,38,0,0,30,0,14,21,3,2,2,0,0,26,0,3,114,1,2,25,0,1,2,0,34,7,-
513873,Jindřichov,379,267,264,17,1,1,16,0,9,24,2,1,2,2,0,13,0,7,84,0,2,67,0,0,0,2,13,1,-
569143,Křenovice,359,202,199,16,0,0,15,0,13,13,0,2,3,0,0,11,0,1,69,0,1,30,0,0,0,0,24,1,-
552780,Křtomil,327,210,210,5,0,0,10,0,7,14,1,0,1,0,0,8,0,8,62,2,0,35,0,1,0,0,55,1,-
514446,Lazníčky,178,112,111,2,0,0,9,0,9,13,1,2,0,0,0,12,0,6,41,0,0,4,0,1,0,0,10,1,-
514471,Lazníky,467,285,283,25,2,0,16,0,12,31,1,3,6,0,0,30,1,3,94,1,1,12,0,3,0,2,39,1,-
514497,Lhota,269,169,169,8,1,0,19,1,5,15,0,1,0,0,0,9,0,4,64,0,0,25,0,0,0,1,16,0,-
514527,Lhotka,46,32,32,7,0,0,2,1,2,1,1,0,0,0,0,1,0,3,8,0,1,1,0,0,0,0,4,0,-
514705,Lipník nad Bečvou,6 574,3 644,3 612,357,10,1,253,6,84,329,31,21,26,1,3,241,2,82,1 143,3,5,356,2,26,6,5,566,53,-
514772,Lipová,234,154,153,5,0,0,13,0,4,25,0,0,1,0,0,11,0,3,42,0,0,33,0,0,1,0,14,1,-
514802,Líšná,197,114,114,8,0,0,8,0,9,4,1,0,1,0,0,8,0,0,36,0,0,16,0,0,0,0,23,0,-
